,CATEGORIE,long,lat,Address,Neighborhood
816,Vol dans / sur véhicule à moteur,-73.56164017363619,45.654434470779044,"12160, 62e Avenue, Rivière-des-Prairies, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1C 1B1, Canada",
817,Méfait,-73.8514438532512,45.49521068079112,"14150, Boulevard Gouin Ouest, Pierrefonds-Est/Roxboro, Pierrefonds-Roxboro, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8Z 1Y2, Canada",
818,Méfait,-73.5750429170212,45.52519833047715,"978, Rue Rachel Est, Parc-Lafontaine, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2J2J2, Canada",
819,Vol dans / sur véhicule à moteur,-73.62929759375541,45.42892730181639,"1648, Rue Marie-Claire, Cecil-P.-Newman, LaSalle, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8N 1T7, Canada",
820,Introduction,-73.57742901242872,45.508611429485185,"481, Rue Prince-Arthur Ouest, Milton Parc, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2X 1T9, Canada",
821,Méfait,-73.57913178823202,45.52077623257711,"282, Rue Rachel Est, Saint-Louis, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2W 1E3, Canada",
822,Vol dans / sur véhicule à moteur,-73.70258566840418,45.53148232971942,"11857, Rue Dépatie, Cartierville, Ahuntsic-Cartierville, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4J 1H5, Canada",
823,Vol dans / sur véhicule à moteur,-73.63947826033267,45.5997831073194,"4567, Boulevard Léger, Centre-Nord, Montréal-Nord, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1G 5W2, Canada",
824,Méfait,-73.60530971997541,45.59515059675647,"9015, Boulevard Lacordaire, Grande-Prairie, Saint-Léonard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1R 2B6, Canada",
825,Vol dans / sur véhicule à moteur,-73.9286284310402,45.41360244659982,"86, Rue Upper Cambridge, Baie-D'Urfé, Agglomération de Montréal, Montréal (06), Québec, H9X 4B6, Canada",
826,Méfait,-73.56736977311306,45.53277428619297,"Avenue De Lorimier et rue Rachel, Rue Rachel Est, Lorimier, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2H 1P8, Canada",
827,Introduction,-73.55438783412836,45.60540109558126,"7121, Avenue de La Devinière, Anjou, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1K 3V6, Canada",
828,Vol de véhicule à moteur,-73.66106093850856,45.460734340933506,"7525, Chemin Kingsley, Côte-Saint-Luc, Agglomération de Montréal, Montréal (06), Québec, H4W 2W4, Canada",
829,Méfait,-73.57591155854308,45.51541532261418,"3788, Boulevard Saint-Laurent, Saint-Louis, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2W 1V4, Canada",
